key_resp.corr,key_resp.rt,,1.2619524,0.5850322,0.6769202
1,1.2421846,,1.6245086,0.5056763,1.1188323
1,1.6245086,,0.6867391,0.5482331,0.138506
1,0.6867391,,0.4382299,0.4831465,-0.0449166
1,0.4382299,,0.4475458,0.7809847,-0.3334389
1,0.4475458,,0.4641269,0.5583184,-0.0941915
1,0.4641269,,0.3687932,1.7488731,-1.3800799
1,0.3687932,,0.4104588,0.4644623,-0.0540035
1,0.4104588,,0.3406504,0.4352141,-0.0945637
1,0.3406504,,0.2986318,0.4162649,-0.1176331
1,0.2986318,,0.324265,0.449302,-0.125037
1,0.324265,,0.598326,0.8788621,-0.2805361
1,0.598326,,1.5048969,0.6567875,0.8481094
1,1.5048969,,1.9472953,0.476767,1.4705283
1,1.9472953,,0.6556333,0.5839122,0.0717211
1,0.6556333,,1.2431043,0.5590262,0.6840781
1,1.2431043,,0.6363334,0.7926207,-0.1562873
1,0.6363334,,0.9116175,0.5990607,0.3125568
1,0.9116175,,1.7062975,1.4617768,0.2445207
1,1.7062975,,0.8114685,0.7172826,0.0941859
1,0.8114685,,1.1658424,0.5672713,0.5985711
1,1.1658424,,1.4343396,0.5187544,0.9155852
1,1.4343396,,1.1269738,0.3884225,0.7385513
1,1.1269738,,0.3106699,0.5370028,-0.2263329
1,0.3106699,,0.7433777,2.8753861,-2.1320084
1,0.7433777,,0.3772083,0.4148919,-0.0376836
1,0.3772083,,0.3010436,0.818483,-0.5174394
1,0.3010436,,0.4834596,0.4343556,0.049104
1,0.4834596,,1.431222,0.6084956,0.8227264
1,1.431222,,0.5153077,0.6438435,-0.1285358
1,0.5153077,,0.4275735,0.4757393,-0.0481658
1,0.4275735,,0.6563634,0.7022286,-0.0458652
1,0.6563634,,0.8917042,0.7395867,0.1521175
1,0.8917042,,0.5372745,1.3901282,-0.8528537
1,0.5372745,,0.5098421,0.5653556,-0.0555135
1,0.5098421,,2.6076538,0.5099568,2.097697
1,2.6076538,,1.0303106,0.4596619,0.5706487
1,1.0303106,,0.6192286,2.5507817,-1.9315531
1,0.6192286,,0.6260137,0.4326445,0.1933692
1,0.6260137,,,mean ,-0.255844454
1,0.5850322,,,the random reaction time is greater than sequence reaction time ,
1,0.9054702,,,,
1,1.1032883,,,,
1,0.6053895,,,,
1,0.4011671,,,,
1,0.851549,,,,
1,0.3982078,,,,
1,0.5276272,,,,
1,0.4971863,,,,
1,0.4118605,,,,
1,0.4441476,,,,
1,0.3098269,,,,
1,0.6024639,,,,
1,0.9072823,,,,
1,0.5938477,,,,
1,1.1285693,,,,
1,0.5644134,,,,
1,0.6172434,,,,
1,0.6898832,,,,
1,0.5885458,,,,
1,0.7622486,,,,
1,0.534576,,,,
1,0.6587693,,,,
1,0.4566668,,,,
1,0.6142171,,,,
1,0.5658848,,,,
1,0.5345071,,,,
1,0.415797,,,,
1,0.5505832,,,,
1,0.8946412,,,,
1,0.7551189,,,,
1,0.5611624,,,,
1,0.4287732,,,,
1,0.695634,,,,
1,0.5592434,,,,
1,0.4954882,,,,
1,0.4891517,,,,
1,0.5236202,,,,
1,0.4928715,,,,
1,0.5669588,,,,
1,0.8215533,,,,
1,1.3413446,,,,
1,0.410104,,,,
1,0.7824299,,,,
1,0.6396871,,,,
1,5.1807124,,,,
1,0.4817745,,,,
1,0.6971979,,,,
1,0.5008083,,,,
1,0.5174791,,,,
1,1.5600332,,,,
1,0.7750022,,,,
1,0.4777636,,,,
1,0.5059912,,,,
1,0.434272,,,,
1,0.476705,,,,
1,0.502567,,,,
1,0.5060867,,,,
1,0.725429,,,,
1,0.7021047,,,,
1,0.5485763,,,,
1,4.4404089,,,,
1,0.6092997,,,,
1,3.7626929,,,,
1,0.7609096,,,,
1,0.7342206,,,,
1,0.7330152,,,,
1,0.4698548,,,,
1,1.962753,,,,
1,0.5101823,,,,
1,0.4206057,,,,
1,0.4266943,,,,
1,1.3776035,,,,
1,0.5240418,,,,
1,0.5491282,,,,
1,0.6159655,,,,
1,0.3993117,,,,
1,0.4748257,,,,
1,4.0357377,,,,
1,0.7503973,,,,
1,0.8095085,,,,
1,0.4976252,,,,
1,0.643768,,,,
1,0.6065445,,,,
1,0.4386311,,,,
1,0.4329885,,,,
1,0.9766685,,,,
1,0.4979076,,,,
1,0.6034678,,,,
1,0.7484334,,,,
1,0.7019039,,,,
1,0.7921557,,,,
1,0.7527272,,,,
1,0.4045376,,,,
1,0.8587515,,,,
1,2.36107,,,,
1,0.6114489,,,,
1,0.76519,,,,
1,0.533142,,,,
1,0.58353,,,,
1,0.6782587,,,,
1,0.6419127,,,,
1,0.5862307,,,,
1,0.7577419,,,,
1,0.5841369,,,,
1,0.5405981,,,,
1,1.2879175,,,,
1,0.5590387,,,,
1,0.5806777,,,,
1,0.6859176,,,,
1,0.4510861,,,,
1,0.5883679,,,,
1,0.5084508,,,,
1,0.7033611,,,,
1,0.6507362,,,,
1,1.0954212,,,,
1,14.9738835,,,,
1,0.9175935,,,,
1,0.5790062,,,,
1,0.5848176,,,,
1,0.6193953,,,,
1,1.226988,,,,
1,0.6743195,,,,
1,1.2285597,,,,
1,0.6709788,,,,
1,0.7151011,,,,
1,0.643375,,,,
1,0.3972496,,,,
1,0.4857752,,,,
1,0.5309482,,,,
1,3.0625725,,,,
1,1.7106243,,,,
1,1.0039611,,,,
1,0.5399232,,,,
1,1.6657075,,,,
1,0.5889919,,,,
1,2.6058406,,,,
1,0.9074493,,,,
1,0.7923501,,,,
1,0.4435674,,,,
1,0.6027801,,,,
